GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
17031820101,7889,2076.084761,2155.525441,6678,151,475
17031820103,4285,1126.022272,801.5403114,3004,156,891
17031820104,4453,1000.213847,688.5327256,3051,202,964
17031820202,3128,594.7750325,575.7273742,1952,30,1007
17031820203,4038,889.4770234,1150.047262,3210,55,348
17031820204,4434,949.8626087,1163.472481,3445,73,581
17031820300,5588,833.5753867,268.6984122,1332,166,3826
17031820400,5556,1014.698438,162.3943207,451,713,4290
17031820501,5905,982.0482798,792.8793644,3994,122,1530
17031820502,5380,819.6666674,602.3333336,3486,366,1272
17031820603,5530,695.6666669,705.3333336,3381,256,1652
17031820604,3689,400.7575907,344.2782728,2844,144,558
17031820605,4523,940.4560355,231.3828394,1435,2320,615
17031820606,3866,748.2037791,685.6074563,2895,175,598
17031820700,7110,1399.833334,681.1666668,2111,188,4568
17031820800,3695,633.0000002,374.8333333,1278,78,2232
17031820901,5582,851.5508687,564.7272382,2909,131,2280
17031820902,5051,925.5747666,486.1042341,2119,125,2608
17031821001,5205,807.6465384,593.8377782,3288,87,1544
17031821002,5764,1055.480397,770.8948798,3408,99,2020
17031821101,4876,839.2989345,560.7045674,2690,46,1776
17031821102,4231,774.7818291,457.7313031,1849,102,2030
17031821200,5641,1571.193052,176.5926485,569,2503,2490
17031821300,5477,1255.88741,170.5355126,641,1873,2864
17031821401,2870,1264.954247,44.858522,67,2553,200
17031821402,3200,1446.965294,48.17998378,76,2971,81
17031821500,1421,477.6666667,15.83333333,44,1307,48
17031821600,4542,1529.709441,401.1302428,1298,1993,1045
17031821700,4859,1375.347973,874.8509479,3368,712,591
17031821800,5415,1657.042139,744.9706896,2866,1289,1046
17031821900,5129,1547.567115,827.8814535,3367,891,729
17031822000,4343,894.5000005,672.333334,2979,99,1118
17031822101,4606,1054.977946,739.9299718,2847,274,1284
17031822102,4504,1148.066416,595.3090974,2203,898,1166
17031822200,3929,764.7410442,580.4958801,2385,110,1273
17031822301,4088,809.6859206,571.0697737,2777,149,995
17031822302,4447,827.2147881,578.3726752,2778,285,1120
17031822400,6362,1055.814127,770.0926481,4523,239,1230
17031822500,4496,1052.271126,817.1294715,2927,207,1070
17031822601,4793,1132.654131,918.9594408,3284,169,1117
17031822602,7296,1623.744112,1136.129114,5173,620,935
17031822701,4438,1147.119161,647.7870941,2362,676,1143
17031822702,3828,928.6176779,684.1796026,2403,424,741
17031822801,3258,815.493617,596.936111,2146,361,600
17031822802,3669,917.0248619,707.8843028,2710,122,675
17031822900,2078,371.7189573,278.364174,1455,78,450
17031823001,6624,1123.909197,599.7366508,4261,932,1024
17031823002,6006,1090.341713,760.4705,4392,333,1012
17031823101,4515,640.6129125,640.3006908,3417,171,698
17031823102,3642,603.0339835,604.51381,2671,165,597
17031823200,4775,1053.800666,838.4918624,3096,382,1055
17031823302,5739,1591.570416,459.8975013,2091,2059,1347
17031823303,4581,960.4939555,558.0389471,2338,669,1436
17031823304,5872,1390.998522,659.6770121,2671,1384,1527
17031823400,4892,1142.536399,310.6211182,1002,1157,2617
17031823500,4301,1015.966084,351.1526346,1155,845,2178
17031823602,6209,1295.352792,1353.314317,4998,337,631
17031823603,2021,550.4310349,50.72126437,81,725,1183
17031823604,3509,769.7850508,1085.260907,3057,71,228
17031823605,4177,898.3531391,1142.771909,3318,287,392
17031823702,7050,1323.610317,1018.30559,5146,827,748
17031823703,8659,1345.575534,837.4514395,6169,261,1546
17031823704,4191,845.9341843,783.0883694,3208,88,703
17031823705,4666,797.0949235,671.8814311,3430,166,762
17031823801,5873,1227.294352,1691.496779,5023,44,414
17031823803,7146,1331.878201,1287.095275,5901,154,794
17031823805,3189,571.8001079,548.542429,2716,82,229
17031823806,3847,613.6067325,567.8021348,2906,179,515
17031823901,3515,779.4192269,1135.761537,2953,92,226
