Unit 1,Unit 2,Shared perim (meters)
17197881111,17197881115,1435.200813
17197881111,17197881107,2258.882932
17197881111,17197881108,1307.939079
17197882602,17197883100,0
17197882602,17197882900,1186.677186
17197882602,17197882500,897.6086192
17197882602,17197882601,1235.499012
17197882602,17197882000,320.8494104
17197882602,17197882701,0
17197882602,17197882702,803.5080052
17197882602,17197881900,331.9611381
17197882702,17197882601,0
17197882702,17197882701,983.9632627
17197882702,17197881900,1198.879522
17197882702,17197881700,200.0356369
17197882702,17197881800,801.011153
17197883214,17197883211,0
17197883214,17197883210,1796.437696
17197883214,17197883216,1611.78226
17197883214,17197883219,808.7672828
17197883214,17197883209,1610.470488
17197883214,17197883217,1603.421903
17197883214,17197880416,811.1662293
17197883214,17197880414,0
17197883210,17197883211,4926.803413
17197883210,17197882802,805.293168
17197883210,17197883206,3220.014107
17197883210,17197883209,1627.513838
17197883210,17197883208,0
17031030103,17031030102,939.4950702
17031030103,17031030200,202.2390421
17031030103,17031030104,1058.081404
17031030102,17031030101,1029.310004
17031030102,17031030200,251.7732292
17031030601,17031030603,285.9529075
17031030601,17031030604,731.8967418
17031030601,17031030500,303.4232964
17031030601,17031030101,949.5102358
17031030601,17031030200,0
17031030706,17031031200,59.66557968
17031030706,17031031300,812.1827606
17031030706,17031030703,818.1456455
17031030706,17031030702,626.6162939
17031030706,17031030701,318.8571514
17031030706,17031030604,589.6860895
17089851101,17089854900,1149.853322
17089851101,17089851600,1245.221488
17089851101,17089851904,1151.575276
17089851101,17089854600,0
17089851101,17089851102,1932.948703
17089851101,17089851909,0
17197881115,17197881112,0
17197881115,17197881116,2951.196759
17197881115,17197881107,57.60619764
17197881115,17197881105,2486.302619
17031061902,17031063200,1282.080914
17031061902,17031061901,1357.19896
17031061902,17031060900,1120.499189
17089850105,17089850707,1439.795018
17089850105,17089850103,4626.73843
17089850105,17089850106,4526.529
17089850105,17111871206,2748.182501
17089850105,17111871107,0
17113001500,17113001404,437.1082258
17113001500,17113005900,589.4888358
17113001500,17113001600,1234.10434
17113001500,17113001403,1338.254913
17113001500,17113001303,416.1671202
17113001402,17113006000,8328.384344
17113001402,17113002102,2286.971049
17113001402,17113002101,0
17113001402,17113001404,3046.27715
17113001402,17113001403,2083.599865
17113001700,17113005900,541.8036968
17113001700,17113005800,341.9982387
17113001700,17113001600,1194.984661
17113001700,17113001800,1980.271778
17113001700,17113001302,124.0790212
17113001700,17113001301,408.1791738
17113001600,17113005900,947.8302083
17113001600,17113001303,534.8345694
17113001600,17113001302,437.7895568
17031063303,17031070101,1064.904245
17031063303,17031063200,536.5658399
17031081202,17031081403,113.1198421
17031081202,17031081300,490.0559908
17031081202,17031081201,518.085062
17031081202,17031081100,268.2929117
17031081202,17031080202,0
17031081202,17031080100,1246.359421
17031081202,17031071500,900.5139409
17113001303,17113001403,1327.821382
17113001303,17113001302,1188.647429
17113001303,17113000400,379.1435013
17113001200,17113001800,2344.051932
17113001200,17113001301,1380.980455
17113001200,17113001106,1600.806498
17031252202,17031831400,749.1897672
17031252202,17031260500,932.6514496
17031252202,17031260400,0
17031252202,17031251800,750.37432
17031040401,17031040700,0
17031040401,17031040600,500.7562094
17031040401,17031040402,1064.331751
17031040401,17031040201,808.2431415
17031040401,17031040100,452.4573098
17031770601,17031770602,2189.57705
17031770601,17031806501,320.7241775
17031770601,17031806502,0
17031770601,17031805112,834.8255677
17031770601,17031806400,821.9164221
17031770601,17031805111,785.8708543
17031770601,17031806300,2555.716792
17031770601,17031804902,0
17031770601,17031806102,607.8987823
17031252102,17031831400,811.8020748
17031252102,17031252101,824.0817654
17031252102,17031252000,0
17031252102,17031251900,813.0481955
17031252102,17031251800,0
17031210602,17031220702,0
17031210602,17031220500,0
17031210602,17031220602,810.0299253
17031210602,17031210502,353.1541357
17031210602,17031210700,407.4658407
17031210602,17031210501,32.31947156
17031210602,17031210601,1164.33686
17031220901,17031222800,0
17031220901,17031222900,591.6912232
17031220901,17031200402,564.9090673
17031220901,17031221000,406.4886054
17031220901,17031220902,811.2865146
17031220601,17031221000,270.0261087
17031220601,17031221100,511.6765
17031220601,17031220902,0
17031220601,17031220702,0
17031220601,17031220500,199.7897956
17031220601,17031220602,935.7774224
17031220602,17031220702,456.1225824
17031220602,17031220500,625.6893352
17031220602,17031210502,0
17031220602,17031210700,0
17123961400,17203030100,10640.66365
17123961400,17143003700,5401.929473
17123961400,17143003602,1246.889285
17123961400,17123961500,20814.83925
17123961400,17123961100,14018.30381
17123961400,17123961300,10098.76645
17123961500,17203030100,15647.69753
17123961500,17203030200,9496.257765
17123961500,17123961100,19403.14816
17123961500,17099964100,11344.3043
17081050700,17081051100,296.7195088
17081050700,17081051000,1972.611927
17081050700,17081050500,2472.255501
17081050700,17081050800,11311.63738
17081050700,17081050600,7263.110079
17081050700,17081050100,5737.077634
17201001000,17201002100,1301.398489
17201001000,17201002200,0
17201001000,17201001800,0
17201001000,17201001200,1043.340811
17201001000,17201002800,2018.205793
17201001000,17201001100,1254.964313
17201001000,17201002900,342.7025279
17123961300,17143003700,16084.27345
17123961300,17123961100,3282.173086
17123961300,17175951500,18618.3499
17123961300,17123961200,11957.51493
17123961300,17175951400,802.4392293
17123961300,17155954600,9741.324148
17123961300,17011965500,14478.3603
17183010200,17183010100,14343.6564
17183010200,17075950900,4748.584623
17123961200,17123961100,3348.625404
17123961200,17155954600,7731.588176
17123961100,17099964100,18192.70962
17123961100,17155954600,16482.72947
17081050200,17081050400,11510.68768
17081050200,17191955300,14436.85248
17081050200,17081050800,20486.22005
17081050200,17081050100,11462.88034
17081050200,17191955000,8129.449049
17081050200,17121952200,12970.44242
17081050300,17055040500,3192.469887
17081050300,17055040100,11830.40074
17081050300,17145030100,11525.48545
17081050300,17081050400,21098.39574
17081050300,17081051100,1070.954984
17081050300,17189950400,13749.11964
17081050300,17081050500,29907.3838
17081050300,17081050100,13204.93
17081050300,17189950100,5627.226093
17081050400,17055041200,15026.30497
17081050400,17055040500,7242.336579
17081050400,17065973300,14594.86155
17081050400,17081051100,7454.432584
17081050400,17191955300,1699.288915
17081050400,17081050800,2359.378261
17081050500,17081051100,6083.886907
17081050500,17081050900,134.0929913
17081050500,17081050600,10134.81031
17081050500,17081050100,8023.266599
17081050600,17081050900,2739.814373
17081050600,17081051000,1204.754016
17081051100,17081050900,2381.41575
17081051100,17081051000,3751.745059
17081051100,17081050800,8578.009668
17081050800,17081050100,7230.015536
17081050100,17189950100,9596.487445
